ชื่อ,วิทยาเขต,โดเมน 
มหาวิทยาลัยแม่ฟ้าหลวง,หลัก,https://www.mfu.ac.th
มหาวิทยาลัยวลัยลักษณ์,หลัก,https://www.wu.ac.th
มหาวิทยาลัยวลัยลักษณ์,ดุสิต,https://wu.ac.th
มหาวิทยาลัยศรีนครินทรวิโรฒ,หลัก,https://www.swu.ac.th
มหาวิทยาลัยศิลปากร,หลัก,https://www.su.ac.th
มหาวิทยาลัยศิลปากร,เพชรบุรี,https://pitc.su.ac.th
มหาวิทยาลัยสงขลานครินทร์,หลัก,https://www.psu.ac.th
มหาวิทยาลัยสวนดุสิต,หลัก,https://www.dusit.ac.th
มหาวิทยาลัยสวนดุสิต,สุพรรณบุรี,https://suphanburicampus.dusit.ac.th
สถาบันการพยาบาลศรีสวรินทิรา สภากาชาดไทย,หลัก,https://stin.ac.th
สถาบันเทคโนโลยีจิตรลดา,หลัก,https://www.cdti.ac.th
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,หลัก,https://www.kmitl.ac.th
สถาบันบัณฑิตพัฒนบริหารศาสตร์,หลัก,https://nida.ac.th
มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,หลัก,https://www.rmutk.ac.th
มหาวิทยาลัยเทคโนโลยีราชมงคลตะวันออก,หลัก,https://www.rmutt.ac.th
มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,หลัก,https://www.rmutp.ac.th
มหาวิทยาลัยเทคโนโลยีราชมงคลพระนคร,หลัก,https://www.mutr.ac.th
มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์,หลัก,https://www.rmutl.ac.th
มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์,วิทยาลัยเพาะช่าง,https://rmutr.ac.th
มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์,วังไกลกังวล,https://kkwcampus.rmutr.ac.th
มหาวิทยาลัยเทคโนโลยีราชมงคลล้านนา,หลัก,https://www.rmutl.ac.th
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,หลัก,https://www.rmutsv.ac.th
มหาวิทยาลัยเทคโนโลยีราชมงคลสุวรรณภูมิ,หลัก,https://rmutsb.ac.th
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,หลัก,https://rmuti.ac.th
มหาวิทยาลัยรามคำแหง,หลัก,https://www.ru.ac.th/th/
มหาวิทยาลัยสุโขทัยธรรมาธิราช,หลัก,https://www.stou.ac.th
มหาวิทยาลัยกาฬสินธุ์,หลัก,https://ksu.ac.th
มหาวิทยาลัยนราธิวาสราชนครินทร์,หลัก,https://www.pnu.ac.th
มหาวิทยาลัยนครพนม,หลัก,https://www.npu.ac.th
มหาวิทยาลัยนครพนม,ดิจิทัล,https://dc.npu.ac.th
มหาวิทยาลัยนครพนม,ธาตุพนม,http://tp.npu.ac.th
มหาวิทยาลัยนครพนม,นาหว้า,https://nawa.npu.ac.th
มหาวิทยาลัยนครพนม,ศรีสงคราม,https://sitc.npu.ac.th
มหาวิทยาลัยนเรศวร,หลัก,https://www.nu.ac.th
มหาวิทยาลัยมหาสารคาม,หลัก,https://www.msu.ac.th
มหาวิทยาลัยราชภัฏอุบลราชธานี,หลัก,https://www.ubru.ac.th
มหาวิทยาลัยเทคโนโลยีปทุมวัน,หลัก,https://www.pit.ac.th
สถาบันวิทยาลัยชุมชน,หลััก,https://www.iccs.ac.th
สถาบันวิทยาลัยชุมชน,วิทยาลัยชุมชนพิจิตร,https://www.pcc.ac.th
สถาบันวิทยาลัยชุมชน,วิทยาลัยชุมชนตาก,http://www.takcc.ac.th
สถาบันวิทยาลัยชุมชน,วิทยาลัยชุมชนบุรีรัมย์,https://sites.google.com/view/buriramcommunitycollege
สถาบันวิทยาลัยชุมชน,วิทยาลัยชุมชนมุกดาหาร,https://mukcc.ac.th
สถาบันวิทยาลัยชุมชน,วิทยาลัยชุมชนหนองบัวลำภู,https://nbcc.ac.th
สถาบันวิทยาลัยชุมชน,วิทยาลัยชุมชนสระแก้ว,http://www.skcc.ac.th
